Einrichtung;Ort;Adresse;Land;Geografische Breite;Geografische Länge;Webseite;Kuppeldurchmesser;Kuppelneigung;Mobilität;Sitzplätze;Sitzplatzanordnung;Eröffnungsjahr;Besucher pro Jahr;Optomechanischer Projektor;Hersteller des optomechanischen Projektors;Fulldome-Software;Hersteller der Fulldome-Software
Planetarium;Berlin;Alt-Treptow 1, 12435 Berlin;DE;52,486;13,476;www.planetarium.berlin;8;0;Stationär;38;Konzentrisch;1959;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Berlin;Munsterdamm 90, 12169 Berlin-Schöneberg;DE;52,458;13,349;www.planetarium.berlin;20;0;Stationär;291;Unidirektional;1965;(unbekannt);Zeiss Modell Vb;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52,543;13,428;www.planetarium.berlin;23;0;Stationär;307;Unidirektional;1987;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet, E&S Digistar;Evans & Sutherland
Planetarium;Berlin;Prenzlauer Allee 80, 10405 Berlin;DE;52,543;13,428;www.planetarium.berlin;6;0;Mobil;30;Variabel;2017;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Blankenfelde-Mahlow;Bahnhofstraße 63, 15827 Blankenfelde-Mahlow;DE;52,325;13,425;www.sternwartedahlewitz.de;6;0;Stationär;20;Unidirektional;2007;(unbekannt);RSA Cosmos Cosmodyssée III;RSA Cosmos;;
Planetarium;Cottbus;Lindenplatz 21, 03042 Cottbus;DE;51,754;14,344;www.planetarium-cottbus.de;12.5;0;Stationär;91;Unidirektional;1974;(unbekannt);Goto Chronos II;GOTO;RSA Cosmos In Space System 2C HD;RSA Cosmos
Planetarium;Frankfurt an der Oder;Mühlenweg 48, 15232 Frankfurt an der Oder;DE;52,326;14,549;www.planetarium-frankfurt.de;8;0;Stationär;30;Variabel;1974;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Herzberg an der Elster;Lugstraße 3, 04916 Herzberg/Elster;DE;51,692;13,229;www.herzberger-sternfreunde-ev.de;8;0;Stationär;70;Konzentrisch;1965;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Jüterbog;Schillerstraße 42/50, 14931 Jüterbog;DE;51,994;13,083;www.gsgym.de;6;0;Stationär;42;Variabel;1986;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Potsdam;Gutenbergstraße 71/72, 14467 Potsdam;DE;52,402;13,062;www.urania-planetarium.de;8;0;Stationär;46;Konzentrisch;2007;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Chemnitz;Albert-Köhler-Straße 48, 09122 Chemnitz;DE;50,793;12,889;www.planetarium-chemnitz.de;6;0;Stationär;34;Konzentrisch;1981;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Eigenbau;Eigenbau
Planetarium;Drebach;Milchstraße 1, 09430 Drebach;DE;50,674;13,013;www.sternwarte-drebach.de;11;0;Stationär;70;Konzentrisch;1986;(unbekannt);Zeiss Skymaster ZKP 3;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Görlitz;An der Sternwarte 1, 02827 Görlitz;DE;51,135;14,949;www.goerlitzer-sternfreunde.de;8;0;Stationär;80;Konzentrisch;1989;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Pirna;Rottwerndorfer Straße 49, 01796 Pirna;DE;50,941;13,946;www.eva-pirna.de;4.4;0;Stationär;20;Konzentrisch;1967;(unbekannt);Selbstbau;Eigenbau;;
Planetarium;Radebeul;Auf den Ebenbergen 10a, 01445 Radebeul;DE;51,116;13,622;www.sternwarte-radebeul.de;8;0;Stationär;60;Konzentrisch;1969;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Rodewisch;Rützengrüner Straße 41a, 08228 Rodewisch;DE;50,527;12,415;www.sternwarte-rodewisch.de;8;0;Stationär;60;Konzentrisch;1984;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Zeiss Powerdome;Zeiss
Planetarium;Schkeuditz;Bergbreite 1, 04435 Schkeuditz;DE;51,395;12,226;www.sternwarte-nordsachsen.de;8;0;Stationär;57;Konzentrisch;1978;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Schneeberg;Heinrich-Heine-Straße 13a, 08289 Schneeberg;DE;50,599;12,647;www.planetarium-schneeberg.de;8;0;Stationär;50;Konzentrisch;1976;(unbekannt);Zeiss Skymaster ZKP 3;Zeiss;Eigenbau;Eigenbau
Planetarium;Zwickau;Kreuzbergweg, 08064 Zwickau;DE;50,681;12,464;www.sternwartezwickau.de;6;0;Stationär;30;Konzentrisch;1980;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Aschersleben;Auf der Alten Burg 40, 06449 Aschersleben;DE;51,751;11,44;www.aschersleben-zoo.de;8;0;Stationär;60;Konzentrisch;1976;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Burg;Kirchhofstraße 3, 39288 Burg;DE;52,275;11,847;www.planetarium-burg.de;6;0;Stationär;30;Konzentrisch;1974;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Dessau;Peterholzstraße 58, 06849 Dessau-Rosslau;DE;51,803;12,248;www.planetarium-dessau.de;8;0;Stationär;42;Konzentrisch;1967;(unbekannt);Zeiss Skymaster ZKP 2P;Zeiss;;
Planetarium;Halle an der Saale;Schkeuditzer Straße 4b, 06116 Halle (Saale);DE;51,457;12,037;www.kanena.de;8;0;Stationär;50;Konzentrisch;1963;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Magdeburg;Pablo-Picasso-Straße 20, 39128 Magdeburg;DE;52,172;11,619;www.astronomiezentrum.jimdo.de;6;0;Stationär;35;Konzentrisch;1977;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Merseburg;Teichstraße 2, 06217 Merseburg;DE;51,353;11,991;www.planetarium-merseburg.de;8;0;Stationär;50;Variabel;1969;(unbekannt);Zeiss ZKP 1;Zeiss;VIOSO-FullDome-2k;Vioso
Planetarium;Wangen;An der Steinklöbe 16, 06642 Wangen;DE;51,271;11,531;www.himmelsscheibe-erleben.de;7;0;Stationär;42;Konzentrisch;2007;(unbekannt);;;Sky-Skan definiti twin;Sky-Skan
Planetarium;Bad Salzungen;Karl-Liebknecht-Straße 23, 36433 Bad Salzungen;DE;50,814;10,156;www.vhs-wartburgkreis.de;8;0;Stationär;60;Konzentrisch;1984;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Gera;Leipziger Straße 24, 07545 Gera;DE;50,88;12,084;www.astronomisches-zentrum-gera.de;4;0;Stationär;25;Variabel;2017;(unbekannt);;;VIOSO-FullDome-2K;Vioso
Planetarium;Jena;Am Planetarium 5, 07743 Jena;DE;50,932;11,587;www.planetarium-jena.de;23;0;Stationär;261;Konzentrisch;1926;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Nordhausen;Wiedigsburg 7/8, 99734 Nordhausen;DE;51,506;10,787;www.herder-gymnasium.de;5.4;0;Stationär;30;Konzentrisch;1998;(unbekannt);Selbstbau;Eigenbau;;
Planetarium;Bremen;Werderstraße 73, 28199 Bremen;DE;53,07;8,808;www.planetarium.hs-bremen.de;6;0;Stationär;35;Konzentrisch;1952;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Bremerhaven;Bussestraße 24, 27570 Bremerhaven;DE;53,536;8,581;www.bremerhavener-sternfreunde.de;6;0;Stationär;30;Konzentrisch;1961;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Bremerhaven;Hoebelstraße 24, 27572 Bremerhaven;DE;53,522;8,581;www.phaenomenta-bremerhaven.de;5;0;Mobil;20;Konzentrisch;2011;(unbekannt);RSA Cosmos Cosmodyssée IV;RSA Cosmos;;
Planetarium;Hamburg;Linnering 1, 22299 Hamburg;DE;53,597;10,009;www.planetarium-hamburg.de;20.6;0;Stationär;257;Konzentrisch;1930;(unbekannt);Zeiss Universarium IX;Zeiss;E&S Digistar / SCISS Uniview;Evans & Sutherland
Planetarium;Lübz;Neuer Teich 6, 19386 Lübz;DE;53,459;12,048;www.luebzerland.de;8;0;Stationär;50;Konzentrisch;1980;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Rostock;Nelkenweg 6, 18057 Rostock;DE;54,086;12,078;www.sternwarte-rostock.de;6;0;Stationär;30;Konzentrisch;1965;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Schwerin;Weinbergstraße 17, 19061 Schwerin;DE;53,617;11,424;www.vhs-schwerin.de;8;0;Stationär;54;Konzentrisch;1962;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Stralsund;Zur Schwedenschanze 15, 18435 Stralsund;DE;54,339;13,073;www.hochschule-stralsund.de;6;0;Stationär;30;Konzentrisch;1954;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Braunschweig;Löwenwall 18a, 38100 Braunschweig;DE;52,26;10,53;www.planetarium.gaussschule-bs.de;3;0;Stationär;12;Konzentrisch;2005;(unbekannt);Goto NEX;GOTO;;
Planetarium;Elsfleth;Weserstraße 52, 26931 Elsfleth;DE;53,242;8,467;;9.3;0;Stationär;25;Konzentrisch;1982;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Grünendeich;Kirchenstieg 30, 21720 Grünendeich;DE;53,576;9,613;www.maritime-elbe.de;6.3;0;Stationär;30;Konzentrisch;1958;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Hannover;An der Bismarckschule 5, 30173 Hannover;DE;52,355;9,747;www.planetarium-hannover.de;6;0;Stationär;38;Konzentrisch;1963;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Neuenhaus;Jahnstraße 3, 49828 Neuenhaus;DE;52,5;6,969;www.avgb.de;5;0;Stationär;35;Konzentrisch;2016;(unbekannt);;;Eigenbau;Eigenbau
Planetarium;Nordenham;Bahnhofstraße 52, 26954 Nordenham;DE;53,486;8,479;www.sternfreunde-nordenham.de;6;0;Stationär;35;Konzentrisch;1980;(unbekannt);Zeiss ZKP 0;Zeiss;;
Planetarium;Osnabrück;Klaus-Strick-Weg 10, 49082 Osnabrück;DE;52,249;8,07;www.museum-am-schoelerberg.de;8;0;Stationär;64;Konzentrisch;1986;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Sky-Skan definiti LED 5;Sky-Skan
Planetarium;Wolfsburg;Uhlandweg 2, 38440 Wolfsburg;DE;52,417;10,782;www.planetarium-wolfsburg.de;15;0;Stationär;144;Konzentrisch;1983;(unbekannt);Zeiss Starmaster ZMP;Zeiss;Zeiss Powerdome Velvet;Zeiss
Planetarium;Flensburg;Kelmstraße 14, 24944 Flensburg;DE;54,815;9,461;www.marine.de;6;0;Stationär;20;Konzentrisch;1944;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;;
Planetarium;Glücksburg;Fördestraße 37, 24960 Glücksburg;DE;54,839;9,528;www.planetarium-gluecksburg.de;6;0;Stationär;50;Konzentrisch;1969;(unbekannt);;;E&S Digistar SP2HD;Evans & Sutherland
Planetarium;Kiel;Sokratesplatz 6, 24149 Kiel;DE;54,332;10,181;www.mediendom.de;9;0;Stationär;64;Konzentrisch;2003;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Kronshagen;Hofbrook 64, 24119 Kronshagen;DE;54,328;10,073;www.gva-kiel.de;3;0;Stationär;15;Konzentrisch;1986;(unbekannt);Goto EX-3;GOTO;;
Planetarium;Frankfurt am Main;Bernhard-Grzimek-Allee 6-8, 60316 Frankfurt am Main;DE;50,115;8,7;www.hvgg.de;4;0;Stationär;20;Variabel;1989;(unbekannt);Selbstbau;Eigenbau;;
Planetarium;Fulda;Jesuitenplatz 2, 36037 Fulda;DE;50,551;9,679;www.fulda.de;6;0;Stationär;35;Konzentrisch;1990;(unbekannt);Zeiss Skymaster ZKP 2;Zeiss;Zeiss Spacegate Duo mit Sky-Skan DigitalSky 2;Sky-Skan
Planetarium;Kassel;An der Karlsaue 20 c, 34131 Kassel;DE;51,311;9,499;www.museum-kassel.de;10;0;Stationär;60;Konzentrisch;1992;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Bochum;Castroper Straße 67, 44791 Bochum;DE;51,485;7,228;www.planetarium-bochum.de;20;0;Stationär;260;Konzentrisch;1964;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Erkrath;Sedentaler Straße 105, 40679 Erkrath;DE;51,208;6,96;www.planetarium-erkrath.de;10;10;Stationär;56;Unidirektional;1980;(unbekannt);;;Sky-Skan definiti DLP 6;Sky-Skan
Planetarium;Herne;Am Böckenbusch 2a, 44652 Herne;DE;51,526;7,176;www.sternwarte-herne.de;4.5;0;Stationär;22;Konzentrisch;1991;(unbekannt);;;Eigenbau;Eigenbau
Planetarium;Köln;Blücherstraße 15-17, 50733 Köln;DE;50,967;6,956;www.koelner-planetarium.de;6;0;Stationär;30;Konzentrisch;1965;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Mülheim an der Ruhr;Oberstraße 92-94, 45468 Mülheim an der Ruhr;DE;51,425;6,895;www.rs-stadtmitte.de;6.5;0;Stationär;15;Variabel;2004;(unbekannt);RSA Cosmos Cosmodyssée III;RSA Cosmos;;
Planetarium;Münster;Sentruper Straße 285, 48161 Münster;DE;51,949;7,591;www.lwl-planetarium-muenster.de;20;0;Stationär;265;Konzentrisch;1981;(unbekannt);Zeiss Universarium VIII;Zeiss;E&S Digistar;Evans & Sutherland
Planetarium;Saarlouis;Großstraße 37, 66740 Saarlouis;DE;49,302;6,761;www.twan-planetarium.de;10;0;Mobil;80;Unidirektional;2015;(unbekannt);;;Eigenbau;Eigenbau
Planetarium;Albstadt-Ebingen;Hartmannstraße 140, 72458 Albstadt-Ebingen;DE;48,209;9,006;;5;0;Stationär;38;Konzentrisch;1985;(unbekannt);Goto E-5;GOTO;;
Planetarium;Freiburg im Breisgau;Bismarckallee 7g, 79098 Freiburg im Breisgau;DE;47,999;7,843;www.planetarium-freiburg.de;13;0;Stationär;140;Konzentrisch;2002;(unbekannt);Zeiss Starmaster ZMP;Zeiss;Sky-Skan definiti 4K HC;Sky-Skan
Planetarium;Heilbronn;, 74072 Heilbronn;DE;49,14;9,211;www.experimenta.science;21.5;20;Stationär;150;Unidirektional;2019;(unbekannt);Zeiss Universarium IX;Zeiss;E&S Digistar, SCISS Uniview;Evans & Sutherland
Planetarium;Laupheim;Milchstraße 1, 88471 Laupheim;DE;48,219;9,884;www.planetarium-laupheim.de;10;0;Stationär;60;Konzentrisch;1990;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Velvet Duo;Zeiss
Planetarium;Mannheim;Wilhelm-Varnholt-Allee 1, 68165 Mannheim;DE;49,477;8,493;www.planetarium-mannheim.de;20;0;Stationär;230;Konzentrisch;1984;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Oberkochen;Carl-Zeiss-Straße 22, 73447 Oberkochen;DE;48,783;10,101;www.zeiss.de;4.6;0;Stationär;10;Unidirektional;2014;(unbekannt);;;Zeiss Velvet Duo;Zeiss
Planetarium;Reutlingen;Karlstraße 40, 72764 Reutlingen;DE;48,498;9,215;www.sternwarte-reutlingen.de;4;0;Stationär;20;Konzentrisch;1965;(unbekannt);Goto E-5;GOTO;;
Planetarium;Stuttgart;Willy-Brandt-Straße 25, 70173 Stuttgart;DE;48,783;9,187;www.planetarium-stuttgart.de;20;0;Stationär;272;Konzentrisch;1977;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Altenmünster-Violau;St.-Michael-Straße 15, 86450 Altenmünster-Violau;DE;48,451;10,574;www.bruder-klaus-heim.de;4.5;0;Stationär;26;Konzentrisch;1975;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Augsburg;Gallusplatz 2, 86152 Augsburg;DE;48,376;10,898;www.st-stephan.de;4.8;0;Stationär;30;Konzentrisch;1983;(unbekannt);Goto E-5;GOTO;;
Planetarium;Augsburg;Im Thäle 3, 86152 Augsburg;DE;48,371;10,895;www.s-planetarium.de;10;0;Stationär;70;Unidirektional;1989;(unbekannt);;;Sky-Skan definiti DLP 7;Sky-Skan
Planetarium;Bad Tölz;Am Schlossplatz 1, 83646 Bad Tölz;DE;47,76;11,562;www.planetarium-toelz.de;6;0;Stationär;35;Konzentrisch;2014;(unbekannt);Zeiss ZKP 1;Zeiss;;
Planetarium;Dieterskirchen;Roigerstr. 6, 92542 Dieterskirchen;DE;49,416;12,409;www.sternwarte-dieterskirchen.de;6;0;Stationär;25;Konzentrisch;2014;(unbekannt);Astrogeräte Berger, Polaris MK1;Astrogeräte Berger;Sky-Skan definiti Solo;Sky-Skan
Planetarium;München;Museumsinsel 1, 80538 München;DE;48,13;11,583;www.deutsches-museum.de;15;0;Stationär;174;Konzentrisch;1925;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Powerdome Velvet;Zeiss
Planetarium;Nürnberg;Am Plärrer 41, 90429 Nürnberg;DE;49,448;11,063;www.planetarium-nuernberg.de;18;0;Stationär;215;Konzentrisch;1961;(unbekannt);Zeiss Modell V;Zeiss;Sky-Skan Definiti 4K SXRD;Sky-Skan
Planetarium;Winzer;Pledlberg 1a, 94577 Winzer;DE;48,729;13,078;www.sternwarte-winzer.de;4;0;Stationär;17;Konzentrisch;2007;(unbekannt);;;Eigenbau;Eigenbau
Planetarium;Judenburg;Kirchplatz 1, 8750 Judenburg;AT;47,168;14,661;www.sternenturm.at;8.5;0;Stationär;65;Konzentrisch;2006;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Klagenfurt;Villacher Straße 239, 2090 Klagenfurt;AT;46,619;14,266;www.planetarium-klagenfurt.at;12.5;0;Stationär;134;Konzentrisch;1977;(unbekannt);Zeiss Spacemaster RFP;Zeiss;Sky-Skan definiti 8K compact;Sky-Skan
Planetarium;Schwaz;Alte Landstraße 15, 6130 Schwaz;AT;47,354;11,727;www.planetarium.at;8;0;Stationär;65;Konzentrisch;2001;(unbekannt);Zeiss Skymaster ZKP 3/B;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Wald im Pinzgau (Königsleiten);Königsleiten 29, 5742 Wald im Pinzgau;AT;47,248;12,116;www.sternwarte-koenigsleiten.com;7;0;Stationär;50;Konzentrisch;1997;(unbekannt);Zeiss Skymaster ZKP 3;Zeiss;;
Planetarium;Wien;Burgring 7, 1010 Wien;AT;48,205;16,36;www.nhm-wien.ac.at;8.5;0;Stationär;61;Unidirektional;2014;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Wien;Oswald-Thomas-Platz 1, 1020 Wien;AT;48,216;16,395;www.planetarium-wien.at;20;0;Stationär;192;Konzentrisch;1964;(unbekannt);Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Luzern;Lidostraße 5, 6006 Luzern;CH;47,053;8,337;www.verkehrshaus.ch;18;0;Stationär;230;Konzentrisch;1969;(unbekannt);;;E&S Digistar;Evans & Sutherland
Planetarium;Schaffhausen;Weiherweg 1, 8200 Schaffhausen;CH;47,706;8,61;www.sternwarte-schaffhausen.ch;6;0;Stationär;25;Variabel;2012;(unbekannt);;;Sky-Skan definiti Solo;Sky-Skan
Planetarium;Schwanden, Berner Oberland;Schwandenstraße 131, 3657 Schwanden ob Sigriswil;CH;46,739;7,726;www.sternwarte-planetarium.ch;8;0;Stationär;50;Konzentrisch;2000;(unbekannt);Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Karneid;Gummer 5, 39053 Karneid (BZ);IT;46,443;11,484;www.planetarium.bz.it;9.1;0;Stationär;53;Unidirektional;2013;(unbekannt);;;E&S Digistar DLP 3D;Evans & Sutherland
